,,,,,,,,,Features,,,,,,,,,,
30,Clamorous Reed-Warbler,Acrocephalus stentoreus,Acrocephalidae,Warbler,Least Concern (LC),Schedule-IV,"Migratory (breeds in West Asia, winters in South Asia)",টিকরা ,18–20 cm,"The Clamorous Reed-Warbler is a large, robust warbler with plain brown upperparts, paler underparts, and a long, heavy bill. It is strongly associated with reed beds, marshes, and wetlands, where it skulks among vegetation. True to its name, it has a loud, harsh, and repetitive song, often delivered from exposed perches. It feeds on insects, spiders, and small aquatic invertebrates.",Males are similar to females but sing loudly and persistently during breeding season.,Females resemble males; juveniles are paler and more streaked.,"Loud, harsh, repetitive “charr-charr” and “krr-krr” notes; song is strong and unmusical.","Found across South Asia, West Asia, and parts of Southeast Asia. In India and Bangladesh, it is a winter visitor to reed beds, marshes, and wetlands.",—,"A. s. brunnescens, A. s. meridionalis, A. s. stentoreus","Great Reed-Warbler (Acrocephalus arundinaceus), Paddyfield Warbler (Acrocephalus agricola)",,
31,Common Iora,Aegithina tiphia,Aegithinidae,Small passerine,Least Concern (LC),Schedule-IV,Resident,ফটিকজল ,15–17 cm,"The Common Iora is a small, lively bird with bright plumage and a melodious song. It is often seen flitting among foliage in gardens, forests, and plantations. Males show striking seasonal plumage, while females are more subdued. It feeds on insects, caterpillars, and small fruits, often foraging actively in pairs or small groups.","Breeding males are bright yellow below with black upperparts, wings, and tail; non-breeding males are greener above with less contrast.","Females are greenish above and yellowish below, lacking the bold black of breeding males. Juveniles resemble females.","Sweet, whistling notes and varied melodious calls; males sing prominently during breeding season.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, Cambodia, and Indonesia. Found in forests, gardens, and plantations.",—,"A. t. tiphia, A. t. humei, A. t. philipi, A. t. septentrionalis","Marshall’s Iora (Aegithina nigrolutea), Green Iora (Aegithina viridissima)",,
32,Common Myna,Acridotheres tristis,Sturnidae,Starling,Least Concern (LC),Schedule-IV,Resident,শালিখ ,23–25 cm,"The Common Myna is a medium-sized, highly adaptable bird with brown body, glossy black head, and bright yellow bare skin around the eyes. It has yellow legs and bill, and white wing patches visible in flight. Known for its boldness and intelligence, it thrives in urban, rural, and agricultural landscapes. It feeds on insects, fruits, grains, and scraps, often foraging near human habitation.","Males and females are alike, both showing brown plumage, black head, and yellow eye-patch.",Females resemble males; juveniles are duller with less gloss and paler bare skin.,"Loud, varied calls including harsh “kree-kree,” whistles, and chatters; excellent mimic.","Widely distributed across South Asia, including India, Nepal, Bangladesh, Sri Lanka, Pakistan, and Myanmar. Introduced populations thrive in Australia, the Middle East, and many Pacific islands.",—,"A. t. tristis, A. t. melanosternus","Jungle Myna (Acridotheres fuscus), Bank Myna (Acridotheres ginginianus)",,
33,Common Tailorbird,Orthotomus sutorius,Cisticolidae,Warbler-like passerine,Least Concern (LC),Schedule-IV,Resident,দর্জি পাখি (Dorji Pakhi),10–13 cm,"The Common Tailorbird is a small, active bird famous for its unique nest-building technique, stitching leaves together with plant fibers or spider silk. It has bright green upperparts, whitish underparts, and a long tail often held upright. The bird is restless, flitting through shrubs and gardens, feeding on insects and small invertebrates.","Males have a rufous forehead and crown, green upperparts, and long tail feathers, especially during breeding season.",Females are similar but with shorter tail feathers; juveniles are duller and lack the rufous crown.,"Loud, sharp “cheeup-cheeup” notes and repetitive calls; often heard more than seen.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, Cambodia, and Indonesia. Common in gardens, scrublands, and urban areas.",—,"O. s. sutorius, O. s. guatemalensis, O. s. patia, O. s. longicauda","Ashy Prinia (Prinia socialis), Plain Prinia (Prinia inornata)",,
34,Coppersmith Barbet,Psilopogon haemacephalus,Megalaimidae,Barbet,Least Concern (LC),Schedule-IV,Resident,ছোট বসন্তবৌরি,15–17 cm,"The Coppersmith Barbet is a small, stout bird with green upperparts, yellow underparts, and a crimson forehead and throat patch. It has a thick bill and red eyes. Its name comes from its monotonous “tuk-tuk” call, resembling a coppersmith striking metal. It feeds mainly on fruits, figs, berries, and occasionally insects. Commonly seen in gardens, orchards, and wooded areas.","Males have crimson forehead, throat, and more vivid plumage.",Females are similar but may show duller coloration; juveniles are streaked and lack bright red patches.,"Loud, repetitive “tuk-tuk-tuk” notes, often heard throughout the day.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, Cambodia, and Indonesia. Common in urban gardens, orchards, and forests.",—,"P. h. haemacephalus, P. h. indicus, P. h. delicae, P. h. roseus","Blue-throated Barbet (Psilopogon asiaticus), Brown-headed Barbet (Psilopogon zeylanicus)",,
35,Cattle Egret,Ardea coromanda,Ardeidae,Egret,Least Concern (LC),Schedule-II,Partially Local Migratory,গো-বক (Go-bok),46-56 cm,"The Cattle Egret is a stocky, medium-sized white wader known for its short legs, thick neck, and hunched posture, distinguishing it from other egrets. Adults are white year-round but develop bright orange-buff plumes on their crown, chest, and back during the breeding season, at which time their bills and legs also turn bright red. They are often seen following cattle and other livestock in fields, feeding on insects stirred up by their movements. ","The male Cattle Egret is typically larger than the female in most body measurements and may have a slightly larger, more robust bill. During the breeding season, males display more pronounced and intense orange-buff plumes on the head, breast, and lower back, making them appear more striking. Their breeding colors are also generally deeper and more vivid than those of females.","The female Cattle Egret is usually smaller and more delicate in build compared to the male. Her bill is slimmer, and during the breeding season, she shows orange-buff plumes as well, though they are less pronounced and paler than in males. Overall, her coloration is softer and less intense, giving her a subtler appearance.",,"Cattle Egrets are found throughout India, with seasonal movements observed, particularly from the cooler North to the warmer South and vice versa, in response to monsoons and breeding seasons.",,Monotype,"Little Egret 
Great Egret
Intermediate Egret",,
36,Citrine Wagtail,Motacilla citreola,,Wagtail,Least Concern (LC),Schedule-II,Winter Migratory,জল খঞ্জন,15.5-17 cm,"The Citrine Wagtail is a small songbird with a bright yellow head and underparts that contrasts with a gray or black back, though in winter plumage and for females, the yellow is paler and the head can be duller with a dark cheek patch. It is named for its citrine (yellow) plumage and its characteristic constantly wagging tail. This insectivorous bird is found near water, such as marshes and lake edges, where it forages for insects by picking them off vegetation or wading into shallow water.","Breeding Plumage: The most recognizable male in breeding plumage has a brilliant yellow head and underparts. Upperparts: Gray or black upperparts, depending on the subspecies, with a distinct black band on the nape. Winter Plumage: Less conspicuous than in breeding plumage, but still more vibrant than the female, with bright yellow underparts that can be diluted by white.","Overall Appearance: A more subdued, ""washed-out"" version of the male in winter plumage. Head: A duller head with a yellowish supercilium (a stripe above the eye) and a dark cheek patch. Underparts: Paler yellow or whitish underparts and undertail coverts.",,"The Citrine Wagtail is found as a migratory winter visitor and partial resident in India, with its range extending across the entire subcontinent, including Kashmir, the North East (Assam, Arunachal Pradesh), parts of the Himalayas, and down into the Indian peninsula.",,"Motacilla citreola citreola
Motacilla citreola werae
Motacilla citreola calcarata ",Eastern Yellow Wagtail,,
37,Common hawk-cuckoo,Hierococcyx varius,Cuculidae,Cuckoo,Least Concern (LC),Schedule IV,Migratory,পাপিয়া ,30-35 cm,"The Common Hawk-Cuckoo is a medium-sized, ash-grey bird, easily mistaken for a hawk due to its hawk-like appearance, yellow eye rim, and mimicry of hawk flight and calls. Its plumage features a grey- brown back and a whitish, cross-barred underbelly and tail. Known as the ""brainfever bird,"" its loud, repetitive ""brain-fever"" call, which sounds like ""brain-fever,"" is famously produced by the male during the breeding season. This brood parasite lays its eggs in the nests of other birds, like babblers, and feeds on insects, including hairy caterpillars","Produce the loud, distinctive, three- note ""brainfever"" call during the breeding season. Generally have ashy-gray upperparts.","Make a different sound, described as a series of grating notes or a bubbling sound. Females & Juveniles are often browner than males, with bolder streaking on the underparts.",,"across most of the Indian subcontinent, including states in North India, Central India, and Peninsular India",,"Hierococcyx varius varius
Hierococcyx varius ciceliae ",Plaintive Cuckoo,,
38,Common Kingfisher,Alcedo atthis,Alcedinidae,Kingfisher,Least Concern (LC),Schedule-II,Generally Resident,পাতি মাছরাঙা / ছোট মাছরাঙা,16-17 cm,"The Common Kingfisher is a small, brightly colored bird known for its striking blue and orange plumage, long pointed bill, and compact body with short legs. It inhabits rivers, streams, and other wetlands with small fish, often perched on branches over the water. Easily identified by its shrill call, low, fast flight as a turquoise flash, and impressive diving and fishing skills, it is a shy bird despite its vibrant colors.  ","The male has a completely black bill, which is a key distinguishing feature. He is slightly larger than the female, though the overall appearance of both sexes is otherwise quite similar.","The female is identified by her bill, which has an orange-red lower mandible with a black tip, or in some cases, orange over most of the lower mandible. She is slightly smaller than the male but closely resembles him in general appearance.",,The Common Kingfisher is widely distributed across entire India.,,"Alcedo atthis atthis
Alcedo atthis ispida
Alcedo atthis bengalensis
Alcedo atthis taprobana
Alcedo atthis floresiana
Alcedo atthis hispidoides
Alcedo atthis salomonensis",,,
39,Common Sandpiper,Actitis hypoleucos,Scolopacidae,Sandpiper,Least Concern (LC),Schedule-II,Winter Migratory,পাতি বাটান (Pati Batan),19-21 cm,"The Common Sandpiper is a small shorebird with greyish-brown upperparts, white underparts, and short yellowish legs. Key identification features include its stiff-winged flight over water, distinctive wingbar in flight, and a bill with a pale base and dark tip. It is fully migratory, breeding in Europe and Asia, and wintering in Africa, India, and other parts of the southern Pacific. This solitary bird forages by sight for invertebrates on the ground or in shallow water.  ",Both males and females have similar brown upperparts and white underparts,"Females are generally larger than males, a difference that can be quite significant during the egg-laying season when their weight increases substantially.",,"The Common Sandpiper is a migratory bird that winters throughout the Indian subcontinent, including states across the country, preferring wetlands, riverbanks, and estuaries.",,Monotype,,,
40,Cotton Pygmy-Goose,Nettapus coromandelianus,Anatidae,Duck,Least Concern (LC),Schedule-I,Generally Resident,বালিহাঁস (Dhalā Bālihans),26-38 cm,"The Cotton Pygmy-Goose is a tiny, duck-like waterfowl found in tropical Asia and Australia, named for the male's ""cottony"" white plumage. Males have a striking white head, neck, and underparts, a dark green-black cap and collar, and a dark brown back with a glossy sheen. Females are more subdued, with a duller cap, a prominent dark eye-line, and less contrast in their grayish-brown plumage.  ","The male has a bright white head and neck with a dark, glossy blackish-green crown. Its face and underparts are white, contrasted by a prominent, dark, blackish-green collar at the base of the neck. The eyes are a vivid crimson-red, and in flight the wings display a broad, gleaming-white band that stands out against the dark wing-coverts. In non-breeding (eclipse) plumage, the male resembles the female in overall appearance but retains the broad white wing-bar as a key distinguishing feature.","The female has a plainer head with a less distinct dark cap or crown patch. An obvious dark eye-stripe is present, but it does not extend to the nape. Her face is flecked, and the neck is finely vermiculated with wavy markings, in contrast to the male’s solid white areas. In flight, the wings show a less striking pattern, with only a white trailing edge to the secondaries. Unlike the male’s crimson eyes, the female has brown eyes.",,,,"Nettapus coromandelianus coromandelianus
Nettapus coromandelianus albipennis",,,
41,Cotton Pygmy Goose,Nettapus coromandelianus,Anatidae,Duck,Least Concern (LC),Schedule IV,Resident with local movements,ধলা বালিহাঁস,26–30 cm,"The Cotton Pygmy Goose is the smallest member of the duck family, with a compact body, short bill, and striking plumage. Males have glossy green upperparts, white face and underparts, and chestnut flanks. Females are duller, with brownish plumage and white underparts. They are often seen in pairs or small groups on lakes, ponds, and wetlands, feeding on aquatic plants and seeds.","Breeding males have glossy green back, white face, chestnut flanks, and bright plumage.","Females are duller, with brownish upperparts, white face stripe, and less vivid plumage.",Soft whistles and quacks; generally quiet.,"Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, and Thailand. In West Bengal, found in village ponds, wetlands, and lakes.",,Monotypic (no recognized subspecies).,Comb Duck (Sarkidiornis melanotos) – larger; Lesser Whistling Duck (Dendrocygna javanica).,"Smallest duck in the world; highly aquatic, rarely seen walking on land; nests in tree cavities near water.",Images show tiny duck with green back and white face floating on ponds.
42,Common Teal,Anas crecca,Anatidae,Duck,Least Concern (LC),Schedule IV,Migratory,তিলে হাঁস,34–38 cm,"The Common Teal is a small dabbling duck, one of the most widespread migratory waterfowl. It has a compact body, short neck, and swift flight. It feeds on aquatic plants, seeds, and small invertebrates, often seen dabbling in shallow waters. In winter, large flocks gather in wetlands, lakes, and paddy fields.","Breeding males have chestnut head with broad green eye patch, grey body, and yellowish rear.","Females are mottled brown with pale underparts, resembling other female dabbling ducks.",Soft whistles and short quacks; males give clear “peep” notes.,"Breeds across northern Eurasia. Winters in South Asia, including India, Bangladesh, Nepal, and Sri Lanka. In West Bengal, common in wetlands, rivers, and paddy fields during winter migration.",,"Several subspecies, including A. c. crecca (Eurasia), A. c. carolinensis (North America, Green-winged Teal).","Garganey (Anas querquedula) – larger, with white eye stripe; Eurasian Wigeon (Mareca penelope).",Highly gregarious in winter; important indicator of wetland health; hunted in some regions.,Images show small duck with green eye patch (male) or mottled brown plumage (female) in wetlands.
43,Common Kestrel,Falco tinnunculus,Falconidae,Raptor,Least Concern (LC),Schedule I,Migratory,পাতি বাজ ,32–39 cm; wingspan 65–82 cm,"The Common Kestrel is a small falcon with rufous-brown upperparts, black spots, and a long tail with a black terminal band. It is known for its hovering flight while hunting small mammals, birds, and insects. It prefers open countryside, grasslands, and agricultural fields.","Males have grey head and tail, rufous back with black spots, and black terminal tail band.","Females are larger, with brown head and tail, more heavily streaked plumage.","High-pitched “kee-kee-kee” calls, especially during breeding season.","Widely distributed across Europe, Asia, and Africa. In India, including West Bengal, it is a winter visitor found in open fields, grasslands, and rural landscapes.",,"Several subspecies across its wide range (e.g., F. t. tinnunculus in Europe, F. t. rupicolus in South Asia).","Lesser Kestrel (Falco naumanni) – smaller, lacks heavy spotting; Eurasian Hobby (Falco subbuteo).",Famous for hovering flight while hunting; plays ecological role in controlling rodent populations.,Images show small falcon hovering in fields or perched with rufous back and grey head (male).
44,Eastern Yellow Wagtail,Motacilla tschutschensis,,Wagtail,Least Concern (LC),Schedule-II,Winter Migratory,হলদে খঞ্জন (Holde' khanjan),15–17 cm,"The Eastern Yellow Wagtail is a small, slender bird, known for its characteristic long, constantly wagging tail and olive-green back and yellow underparts in breeding males. Key features include a black tail with white outer feathers, a long hind claw, and a high-pitched call. Breeding males exhibit striking head patterns and a gray crown, while non-breeding birds and females are duller, though the tail and yellow may be diluted with white. They are ground-foraging insectivores.  ","During breeding males have bright yellow underparts and throat. Greenish or olive-green upperparts. Head color varies by subspecies, ranging from gray to white. A distinct white line above the eye (supercilium). Outer tail feathers are white.","During breeding females are duller, with less yellow on the underparts and more white. Head is often paler and may have a brownish tinge. Can have a more pronounced gray necklace. ",,"The Eastern Yellow Wagtail is found throughout India during its non-breeding (winter) season, from the northern states like Jammu and Kashmir and Assam to the southern tip of the peninsula, with specific sightings confirmed in states such as Kerala, Karnataka, West Bengal, and Tripura. It also occurs in the Andaman and Narcondam Islands.  ",,"Motacilla tschutschensis plexa
Motacilla tschutschensis tschutschensis
Motacilla tschutschensis taivana
Motacilla tschutschensis macronyx ",Citrine Wagtail,,
45,Eastern Cattle Egret,Bubulcus coromandus,Ardeidae,Egret,Least Concern (LC),Schedule-IV,Resident (with local seasonal movements),গো বক,48–53 cm,"The Eastern Cattle Egret is a small, stocky white heron often seen in association with grazing livestock. It feeds on insects and small animals disturbed by cattle and tractors. In breeding plumage, it develops golden-buff plumes on the head, breast, and back. It is highly adaptable, thriving in wetlands, grasslands, agricultural fields, and even urban areas.","Breeding males show golden-buff plumes on head, breast, and back, with reddish bill and legs.",Females resemble males; juveniles are plain white with yellow bill and legs.,"Harsh “rick-rick” and croaking calls, especially in colonies.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, Cambodia, Vietnam, and China. Often found in agricultural fields, wetlands, and near cattle.",—,B. c. coromandus,"Western Cattle Egret (Bubulcus ibis), Little Egret (Egretta garzetta)",,
46,Eurasian Collared-Dove,Streptopelia decaocto,Columbidae,Dove,Least Concern (LC),Schedule-IV,Resident (with local dispersal), কণ্ঠীঘুঘু ,32–34 cm,"The Eurasian Collared-Dove is a medium-sized dove with pale grey-buff plumage, a slender body, and a long square-tipped tail. Its most distinctive feature is the narrow black collar on the nape, bordered with white. It is highly adaptable, thriving in urban, rural, and agricultural landscapes. It feeds on grains, seeds, and small fruits, often foraging near human habitation.","Males and females are alike, both showing pale grey plumage and black collar.",Females resemble males; juveniles lack the distinct collar and are duller overall.,"Soft, repetitive three-note cooing “coo-COO-coo,” often heard in pairs or flocks.","Native to Europe and Asia; widely distributed across South Asia including India, Bangladesh, Nepal, and Sri Lanka. Introduced populations thrive in North America and other regions.",—,"S. d. decaocto, S. d. xanthocyclus","Red Collared-Dove (Streptopelia tranquebarica), Laughing Dove (Spilopelia senegalensis)",,
47,Eurasian Hoopoe,Upupa epops,Upupidae,Hoopoe,Least Concern (LC),Schedule-IV,"Migratory (breeds in Europe/Asia, winters in South Asia/Africa)",মোহনচূড়া ,25–29 cm,"The Eurasian Hoopoe is a distinctive bird with cinnamon-orange plumage, bold black-and-white wings, and a long, slender, down-curved bill. Its most striking feature is the erectile crest tipped with black, which fans out when excited. It feeds mainly on insects, grubs, and small invertebrates, probing the ground with its bill. Often seen in open fields, grasslands, and rural areas.",Males are cinnamon-orange with black-and-white wings and a prominent crest.,Females resemble males but may appear slightly duller; juveniles have shorter crests and paler plumage.,"Soft “hoo-poo-poo” calls, repeated in series; alarm calls are harsher.","Widely distributed across Europe, Asia, and North Africa. In South Asia, including India and Bangladesh, it is a winter visitor and passage migrant.",—,"U. e. epops, U. e. africana, U. e. asiatica, U. e. senegalensis","Indian Hoopoe (Upupa indica – sometimes treated as subspecies), Woodpeckers (superficially similar in crest and bill use)",,
48,Eurasian Moorhen / Common Moorhen,Gallinula chloropus,Rallidae,Rail,Least Concern (LC),Schedule-IV,Resident (with local seasonal movements),জলমুরগি (Jalmurgi),32–35 cm,"The Eurasian Moorhen is a medium-sized waterbird with dark brownish-black plumage, white undertail coverts, and a distinctive red bill with yellow tip. It has long greenish legs with unwebbed toes, adapted for walking on floating vegetation. It is omnivorous, feeding on aquatic plants, insects, and small fish. Often seen swimming in ponds, marshes, and wetlands, flicking its white undertail feathers.","Males are similar to females, both showing dark plumage and red bill.",Females resemble males; juveniles are dull brown with paler underparts and lack the bright bill coloration.,"Loud, harsh “kurr-kurr” and “krek-krek” calls; also emits sharp alarm notes.","Widely distributed across Europe, Asia, and Africa. In South Asia, including India, Bangladesh, Nepal, and Sri Lanka, it is common in wetlands, ponds, and rice fields.",—,"G. c. chloropus, G. c. orientalis, G. c. pyrrhorrhoa","Common Coot (Fulica atra), Purple Swamphen (Porphyrio poliocephalus)",,
49,Eurasian Wigeon,Mareca penelope,Anatidae,Duck,Least Concern (LC),Schedule-IV,"Migratory (breeds in northern Eurasia, winters in South Asia)",ছোট লালশির ,45–50 cm,"The Eurasian Wigeon is a medium-sized dabbling duck with a rounded head and short bill. It is often seen in large flocks on lakes, marshes, and coastal wetlands during winter. It feeds mainly on aquatic plants and grasses, grazing in shallow water or on land.","Breeding males have a chestnut head with creamy-yellow forehead, grey body, pinkish breast, and white wing patch visible in flight.",Females are mottled brown with a paler face and less distinct markings; juveniles resemble females.,Whistling “wee-oo” notes by males; females give low growls and quacks.,"Breeds across northern Europe and Asia. Winters in South Asia, including India, Bangladesh, Nepal, and Sri Lanka, as well as Africa and the Middle East. Prefers lakes, reservoirs, marshes, and coastal lagoons.",—,Monotypic (no widely recognized subspecies).,"American Wigeon (Mareca americana), Gadwall (Mareca strepera)",,
50,Eurasian Wryneck,Jynx torquilla,Picidae,Woodpecker (non-drumming),Least Concern (LC),Schedule-IV,"Migratory (breeds in Europe/Asia, winters in Africa/South Asia)",বঙ্কিমগ্রীব ,16–18 cm,"The Eurasian Wryneck is a small, cryptically patterned woodpecker with mottled brown, grey, and buff plumage that provides excellent camouflage against tree bark. Unlike other woodpeckers, it does not drum but has a long, flexible tongue for feeding on ants and insects. Its name comes from its ability to twist its head in a snake-like manner when threatened.",Males are mottled brown and grey with subtle barring and streaks; plumage is cryptic and similar to females.,Females resemble males; juveniles are duller with heavier streaking.,"Loud, repeated “quee-quee-quee” calls; alarm calls are harsh and rasping.","Breeds across Europe and northern Asia; winters in Africa, the Middle East, and South Asia including India. Found in open woodlands, orchards, and scrublands.",—,"J. t. torquilla, J. t. chinensis, J. t. sarudnyi, J. t. tschusii","Grey-headed Woodpecker (Picus canus), Lesser Spotted Woodpecker (Dryobates minor)",,
51,Fulvous-breasted Woodpecker,Dendrocopos macei,Picidae,Woodpecker,Least Concern (LC),Schedule-IV,Resident,জরদ কাঠঠোকরা ,20–22 cm,"A medium-sized woodpecker with buffy underparts, black-and-white barred wings, and a distinctive fulvous (yellowish-buff) breast. It has a strong bill for drilling into wood and feeds on insects, larvae, and occasionally fruits. Often seen clinging to tree trunks and branches in forests, groves, and wooded gardens.",Males have a red crown patch along with buff breast and black-and-white barred wings.,Females lack the red crown patch but otherwise resemble males; juveniles are duller with less distinct barring.,Sharp “kik-kik” calls and drumming on tree trunks.,"Found across the Indian subcontinent, including India, Bangladesh, Nepal, Bhutan, and Myanmar. Prefers forests, wooded areas, plantations, and urban groves.",—,"D. m. macei, D. m. himalayensis","Black-rumped Flameback (Dinopium benghalense), Lesser Yellownape (Picus chlorolophus)",,
52,Glossy Ibis,Plegadis falcinellus,Threskiornithidae,Wader,Least Concern (LC),Schedule IV,Migratory,দ্যুতি ,55–65 cm; wingspan 88–105 cm,"The Glossy Ibis is a medium-sized wading bird with long legs and a slender, down-curved bill. Its plumage appears dark at a distance but shines with bronze, green, and purple iridescence in good light. It feeds in shallow wetlands, probing mud for insects, crustaceans, and small fish.",Males and females look alike; both have iridescent plumage and long decurved bill.,Females are similar to males; sexual dimorphism is minimal.,"Nasal, grunting “grrr” calls, often in colonies.","Widely distributed across Europe, Africa, Asia, and Australia. In India, including West Bengal, it is a winter visitor found in wetlands, marshes, and paddy fields.",,Monotypic (no recognized subspecies).,"Black-headed Ibis (Threskiornis melanocephalus) – larger, white plumage; Eurasian Curlew (Numenius arquata) – longer bill, different plumage.",Often breeds in colonies with other herons and ibises; highly gregarious in winter.,"Images show dark ibis with bronze-green iridescence, long legs, and decurved bill in wetlands."
53,Gray-headed Swamphen,Porphyrio poliocephalus,Rallidae,Rail,Least Concern (LC),Schedule-IV,Resident (with local dispersal),ধূসর-মাথা জলমুরগি (Dhushor-matha Jalmurgi),45–50 cm,"A large, striking rail with purplish-blue body, gray head, and long red bill with frontal shield. It has long reddish legs and unwebbed toes, adapted for walking on floating vegetation. It feeds on aquatic plants, shoots, and small animals. Often seen in wetlands, ponds, and marshes, flicking its tail to reveal white undertail coverts.","Males are similar to females, both showing gray head and purplish-blue body.",Females resemble males; juveniles are duller with brownish tones and less vivid coloration.,"Loud, harsh “korr-korr” and “kek-kek” calls; also emits sharp alarm notes.","Found across South Asia, including India, Bangladesh, Nepal, and Sri Lanka. Prefers wetlands, marshes, ponds, and rice fields.",—,Monotypic (no widely recognized subspecies).,"Purple Swamphen (Porphyrio porphyrio), Eurasian Moorhen (Gallinula chloropus)",,
54,Greater Coucal,Centropus sinensis,Cuculidae,Large cuckoo,Least Concern (LC),Schedule-IV,Resident,কুবো ,45–48 cm,"A large, crow-like cuckoo with glossy black head, neck, and body, contrasted by rich chestnut wings. It has a long, broad tail and red eyes. Prefers dense vegetation, scrub, and gardens, where it skulks low to the ground. Feeds on insects, caterpillars, small reptiles, and occasionally fruits. Known for its deep, resonant calls.",Males are glossy black with chestnut wings and long black tail.,"Females resemble males; juveniles are streaked brown and buff, with duller plumage.","Deep, resonant “coop-coop-coop” calls, often repeated in series.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, Cambodia, and southern China. Found in scrublands, forests, and urban gardens.",—,"C. s. sinensis, C. s. bubutus, C. s. intermedius","Lesser Coucal (Centropus bengalensis), Crow Pheasant (local name for Greater Coucal itself)",,
55,Greenish Warbler,Phylloscopus trochiloides,Phylloscopidae,Leaf Warbler,Least Concern (LC),Schedule-IV,"Migratory (breeds in temperate Eurasia, winters in South Asia)",সবুজ পাতি-চটক (Sobuj Pati-Chotok),10–11 cm,"A small, active leaf warbler with greenish upperparts, whitish underparts, and a faint wing bar. It is restless, flitting among foliage in forests and gardens, feeding on insects and spiders. Known for its complex song and subtle plumage differences across populations.","Males are similar to females, both showing greenish upperparts and whitish underparts; males sing prominently during breeding season.",Females resemble males; juveniles are duller with less distinct wing markings.,"High-pitched, varied trills and warbling notes; song is complex and melodious.","Breeds across northern and central Eurasia; winters in South Asia including India, Bangladesh, Nepal, and Sri Lanka. Found in forests, woodlands, and gardens.",—,"P. t. trochiloides, P. t. viridanus, P. t. ludlowi, P. t. plumbeitarsus","Hume’s Leaf Warbler (Phylloscopus humei), Arctic Warbler (Phylloscopus borealis)",,
56,Grey Wagtail,Motacilla cinerea,Motacillidae,Wagtail,Least Concern (LC),Schedule-IV,"Migratory (breeds in Europe/Asia, winters in South Asia)",ধূসর খঞ্জন (Dhushor Khanjan),18–20 cm,"A slender wagtail with long tail, grey upperparts, yellow underparts, and white supercilium. It is often seen near fast-flowing rivers, streams, and wetlands, constantly wagging its tail. Feeds mainly on insects and aquatic invertebrates.","Breeding males have bright yellow underparts, grey upperparts, and black throat patch.",Females are similar but lack the black throat; juveniles are duller with paler yellow underparts.,Sharp “tsree-tsree” calls; song is a series of high-pitched notes.,"Breeds across Europe and temperate Asia; winters in South Asia including India, Bangladesh, Nepal, and Sri Lanka. Prefers riversides, streams, and wetlands.",—,"M. c. cinerea, M. c. melanope","Citrine Wagtail (Motacilla citreola), Yellow Wagtail (Motacilla flava)",,
57,Gadwall,Mareca strepera,Anatidae,Duck,Least Concern (LC),Schedule-II,Winter Migratory,পিয়াং হাঁস (Piyang Hans),46-56 cm,"The gadwall is a medium-sized, drab brown duck found worldwide in freshwater wetlands. They are dabbling ducks that feed primarily on aquatic plants, often found in pairs or small flocks in shallow wetlands, and are relatively quiet with a hoarse whistling call in males and a mallard-like quack in females. ","The male Gadwall has a finely barred, grayish body with a black rear end and a light chestnut wing patch. Its head is light grayish-brown, and the bill ranges from slaty blue to black, sometimes showing faint traces of muted orange along the sides. The voice is characterized by a low, raspy squawk.","The female Gadwall has mottled brown and buff plumage, resembling a female Mallard but distinguished by its white speculum and white belly. Her bill is thinner than that of a Mallard, marked with a narrow orange stripe along the edge and small dark spots. A white wing patch is also present, though it is smaller and less prominent than in the male.",,"Indian subcontinent, including Maharashtra, West Bengal, Gujarat, and other locations where suitable wetlands exist for their wintering grounds",,"Mareca strepera strepera
Mareca strepera couesi","Garganey
Tufted Duck",,
58,Garganey,Spatula querquedula,Anatidae,Duck,Least Concern (LC),Schedule-II,Winter Migratory,জিরিয়া হাঁস ,37–41 cm,"The garganey is a small, mid-sized dabbling duck that breeds across Europe and Asia in flooded fields and wetlands, with males distinguished by a prominent white stripe above the eye, contrasting with a dark brown head.","It has a brownish head with a distinct reddish tone and a prominent white crescent above the eye. The breast is brownish, while the flanks and scapular feathers are grey. The wings display a pale blue speculum with white borders, which becomes especially striking in flight. The bill is grey, and during the breeding season it is noted for its distinct crackling or rattling mating call.","The female is overall mostly brown with less distinct markings than the male. Its head shows a more contrasting facial pattern, featuring a paler eyebrow, a darker eye-stripe, and an unstreaked whitish throat. The bill is distinctive, being longer and entirely grey. The wings appear darker grey compared to the rest of the body. While it can be confused with female Common Teals, it is distinguished by its bolder facial markings and the tendency to shake its head more frequently when dabbling.",,"Garganeys are migratory birds found in Indian states like West Bengal, Telangana, Karnataka, Rajasthan, and Tamil Nadu during the winter months. They are typically observed in wetlands and shallow lakes.",,Monotype,"Gadwall
Tufted Duck",,
